Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
210	2:15.39	Michael Grzanko		15	200 FL LCM	NJ	Scarlet Aquatics	2023 NJ LC GOLD Championships	2020-2024 AAA
211	2:15.46	Kyle Johnson		15	200 FL LCM	WI	Waukesha Express Swim Team	2023 WI BAC JACK PETTINGER INVITE	2020-2024 AA
211	2:15.46	Oliver Gray		15	200 FL LCM	CA	Orange Regional Competitive Aquatics	2023 SVK Swim4life	2020-2024 AA
213	2:15.47	Vito Sgroi		15	200 FL LCM	FL	Sarasota Sharks	2023 FL Sarasota Shark Open	2020-2024 AA
214	2:15.49	Dayne Webb		15	200 FL LCM	MI	Greater Kalamazoo Crocs	2023 MI Michigan Swimming Ultra LCM Championship Meet	2020-2024 AA
215	2:15.54	Pablo Pareja		15	200 FL LCM	IL	FMC Aquatic	2023 IL Illinois Swimming Summer Senior Championships	2020-2024 AA
216	2:15.57	Jaden Amores		15	200 FL LCM	FG	South Florida Aquatic Club	2023 FL Southern Zone South Sectional Championships	2020-2024 AA
217	2:15.61	Carson Day		15	200 FL LCM	NC	SwimMAC Carolina	2023 NC SwimMAC Martha McKee Open	2020-2024 AA
218	2:15.64	Vinny Bruno		15	200 FL LCM	MI	Southwest Y Sharks	2023 IN CZ East Spring Speedo Sectional Time Trials	2020-2024 AA
219	2:15.68	Benjamin Hu		15	200 FL LCM	MI	Novi Sturgeons	2023 OH Central Zone LC East Sectional	2020-2024 AA
220	2:15.69	Keoni Li		15	200 FL LCM	CO	Unattached	2023 SIN 53rd SNAG Senior Championships	2020-2024 AA
221	2:15.71	Alexander Andre		15	200 FL LCM	NC	North Carolina Aquatic Club	2023 SC SCSC June Invitational	2020-2024 AA
222	2:15.72	Cameron Roy		15	200 FL LCM	VA	H2okie Aquatics	2023 VA Virginia Commonwealth Games	2020-2024 AA
223	2:15.74	Justin Jarczynski		15	200 FL LCM	PV	Rockville Montgomery Swim Club	2023 VA EZ LC Speedo Super Sectional	2020-2024 AA
224	2:15.76	Maximillian Ng		15	200 FL LCM	SN	Sierra Marlins Swim Team	2023 CC Arena Grand Challenge	2020-2024 AA
224	2:15.76	Owen Frick		15	200 FL LCM	LA	Bulldog Aquatic Club	2023 LA Louisiana Senior Long Course State Championship	2020-2024 AA
224	2:15.76	Zakary Guenther		15	200 FL LCM	OR	Corvallis Aquatic Team	2023 OR Comfort Suites Corvallis - CAT LC Open	2020-2024 AA
227	2:15.81	Will Blakeley		15	200 FL LCM	MI	Utica Shelby Swim Club	2023 Indy Spring Cup - CAP REACHED	2020-2024 AA
227	2:15.81	Walter Kueffer		15	200 FL LCM	FL	Southwest Stars Swim Club	2023 FL Patriot Aquatics Long Course Invitational	2020-2024 AA
229	2:15.84	Luke Slankard		15	200 FL LCM	CO	Foothills Swim Team	2023 CO CSI Long Course Open	2020-2024 AA
230	2:15.86	Antoine Destang	Yes	15	200 FL LCM	FL	Bolles School Sharks	2023 FL BSS TYR June Classic	2020-2024 AA
