Rank	Swim Time	Name	Foreign	Age	Event	LSC	Team	Meet	Time Standard
314	2:14.45	Ryan Nunez		17	200 IM LCM	MR	Long Island Express	2022 MR LIE May Extravaganza Invitational	2020-2024 AAA
314	2:14.45	Tim Johnson		17	200 IM LCM	NE	Cape Cod Swim Club	2022 NE BGSC LCM Seniors	2020-2024 AAA
316	2:14.46	Sonny Wang		17	200 IM LCM	ST	Waterloo Swimming	2022 ST WLOO Waterloo Classic	2020-2024 AAA
317	2:14.53	Josh Culling		17	200 IM LCM	GA	Marietta Marlins, Inc	2022 GA Rays 14th Stu Hixon Invite	2020-2024 AAA
317	2:14.53	Garrett Rowley		17	200 IM LCM	AZ	Mesa Aquatics Club	2022-NT American Long Course Meet	2020-2024 AAA
319	2:14.54	Thomson Yatso		17	200 IM LCM	WI	Schroeder YMCA Swim Team	2022 WI 13 & O LC State Meet	2020-2024 AAA
320	2:14.55	Joshua Corn		17	200 IM LCM	CO	Foothills Swim Team	2022 CO CSI Long Course Open	2020-2024 AAA
320	2:14.55	Michael Jang		17	200 IM LCM	MR	Team Suffolk	2022 IN NCSA Summer Swimming Championship	2020-2024 AAA
322	2:14.56	Kyle Adamson		17	200 IM LCM	SN	Northern Sierra Swimming	2022 Futures - Santa Clara	2020-2024 AAA
323	2:14.58	Brandon Estep		17	200 IM LCM	MA	Keystone Aquatics	2022 MA Swimming Meet	2020-2024 AAA
323	2:14.58	Joram Kim		17	200 IM LCM	NJ	Scarlet Aquatics	2022 NJ SCAR LC Junior Olympics	2020-2024 AAA
325	2:14.59	Ambrus Barcsak	Yes	17	200 IM LCM	FG	Saint Andrew's Aquatics	2022 FG SUN IMR-IMX Challenge	2020-2024 AAA
325	2:14.59	Ward Wilson		17	200 IM LCM	IL	New Trier Aquatics	2022 MN USAS Speedo Meet	2020-2024 AAA
327	2:14.60	Matthew Ng		17	200 IM LCM	SN	DART Swimming	2022 SN Bill Rose Classic	2020-2024 AAA
328	2:14.62	Leo Pelaez		17	200 IM LCM	NT	Dallas Mustangs	2022 Futures Championships - C	2020-2024 AAA
329	2:14.65	Kayden Lancaster		17	200 IM LCM	FL	Bolles School Sharks	2022 FL BSS May Senior Meet	2020-2024 AAA
329	2:14.65	Ryan Stahl		17	200 IM LCM	CO	Loveland Swim Club	2022 SN Finals - Western Zone Senior Ch	2020-2024 AAA
331	2:14.66	Brantson Bui		17	200 IM LCM	GU	Katy Aquatic Team For Youth	2022 Futures - College Station	2020-2024 AAA
332	2:14.67	Robin Domingo	Yes	17	200 IM LCM	SC	Y-Spartaquatics Swim Club	2022 NC AP LC YMCA Nationals	2020-2024 AAA
332	2:14.67	Jacob Mohrland		17	200 IM LCM	PC	Walnut Creek Aquabears	2022 SN Summer CA-NV Sectional-CC	2020-2024 AAA
334	2:14.68	Dowl Bowen		17	200 IM LCM	FL	Bolles School Sharks	2022 NC Futures Championships Cary	2020-2024 AAA
335	2:14.69	Henry Liu		17	200 IM LCM	GA	SwimAtlanta	2022 GA LC Senior State Championship	2020-2024 AAA
335	2:14.69	Ayden Cason		17	200 IM LCM	FL	Indian River Aquatics	2022 Futures - Cary	2020-2024 AAA
335	2:14.69	Jack Myers		17	200 IM LCM	IL	YWCA Flying Fish	2022 IL LCM Senior Championships	2020-2024 AAA
338	2:14.72	Neo Matsuyama		17	200 IM LCM	PV	Nation's Capital Swim Club	2022 NC STAR Long Days of Summer	2020-2024 AAA
339	2:14.74	Nolan Miller		17	200 IM LCM	IL	Champaign Cnty YMCA	2022 IN CGAC Mid Summer Spectacular	2020-2024 AAA
339	2:14.74	Genoa Nixon		17	200 IM LCM	PC	Northern Nevada Aquatics	2022 PC OAPB LC Senior Open	2020-2024 AAA
339	2:14.74	Anders Aistars		17	200 IM LCM	CA	Unattached	2022 CA RMDA Road to 2022 LCM Finals	2020-2024 AAA
342	2:14.75	Clark Pabst		17	200 IM LCM	OHO	Upper Arlington Swim Club	2022 OH Tim Meyers LC Senior Champs	2020-2024 AAA
343	2:14.76	Alex Cook		17	200 IM LCM	NC	SwimMAC Carolina	2022 NC ESSZ Summer Sectionals	2020-2024 AAA
343	2:14.76	Ranger Gavino		17	200 IM LCM	CA	BlueFin Aquatics	2022 CA SCS/RMDA June Age Group	2020-2024 AAA
345	2:14.79	Nathan Kim		17	200 IM LCM	OR	Columbia River Swim Team	2022 OR Arena 11&O LC Championship	2020-2024 AAA
